Twitter_Handle,Tweet_Text,Tweet_URL,Tweet_Date
@ealexdixon,"UX Allison from @Tableau, my 5-minute BFF on the shuttle last night, @googlefonts + Tableau Desktop. We can do it. I believe in you. #data17",http://twitter.com/ealexdixon/status/918464535618392064,"October 12, 2017 at 09:13AM"
@RodSharp512,"RT @Informatica: NEWS: Informatica Partners with @Tableau to Unleash the Power of Data https://t.co/OwFJF4Rk7q    #Data17 https://t.co/03lvOtv2WN",http://twitter.com/RodSharp512/status/918465034371530754,"October 12, 2017 at 09:15AM"
@Matias_amezcua,"NEWS: @Informatica Partners with @Tableau to Unleash the Power of Data https://t.co/1F2uica8hX   #Data17 https://t.co/gBOfPXFcud",http://twitter.com/Matias_amezcua/status/918465162876735493,"October 12, 2017 at 09:15AM"
@SteevanSaldana,"RT @infacloud: Great Data Requires Great #DataIntegration â†’ https://t.co/zTSnKdBh0J #Data17 https://t.co/VQQUKD5UmW",http://twitter.com/SteevanSaldana/status/918466019596820480,"October 12, 2017 at 09:18AM"
@Synaltic,#Data17 @j_trajkovic et @hplanckeel vont ENFIN regarder le replay de la #Keynote #TableauVision ! A dÃ©rouler et suivre en direct !,http://twitter.com/Synaltic/status/918466097719980032,"October 12, 2017 at 09:19AM"
@databrit,ï“¢ Calling any UK data rock stars at #TC17. Check out @Slalom at booth 358 - and ask for @sirajma - #dataviz! #data17 ï“¢,http://twitter.com/databrit/status/918466561249198080,"October 12, 2017 at 09:21AM"
@SlalomLondon,RT @RichardFayers: Calling any UK data rock stars at #TC17. Check out @Slalom at booth 358 - and ask for @sirajma - #dataviz! #data17,http://twitter.com/SlalomLondon/status/918466814010712064,"October 12, 2017 at 09:22AM"
@cheeky_chappie,At @tableau #Data17 it definitely seems that the #LondonTUGonTour has gone with the mantra go hard or go home ï_£ï_£ https://t.co/GHHxLNimVq,http://twitter.com/cheeky_chappie/status/918467174871609344,"October 12, 2017 at 09:23AM"
@YvesMulkers,"RT @rchildress1883: A Leader for #Metadata Management â†’ https://t.co/Bem3cNepdn #Data17 https://t.co/QdwZnNLybG",http://twitter.com/YvesMulkers/status/918468788521234432,"October 12, 2017 at 09:29AM"
@jenipie,RT @tmmdata: Attending #Data17? Come visit us at Booth 240 in the Data Village to talk #DataIntegration &amp; #DataPrep for @Tableauâ€_ https://t.co/vHpIlV4J1q,http://twitter.com/jenipie/status/918468856745746432,"October 12, 2017 at 09:30AM"
@jenipie,"RT @tmmdata: Come to our booth at Tableau #data17 for daily software demos to enter the drone drawing! Tuesday 3:00, Wednesday 2â€_ https://t.co/PSdWzD6wXQ",http://twitter.com/jenipie/status/918468889205493762,"October 12, 2017 at 09:30AM"
@robradburn,Data night out! #data17 https://t.co/dEUWy9NUJd,http://twitter.com/robradburn/status/918469177383337984,"October 12, 2017 at 09:31AM"
@InfoBurst,RT @pgrill: Data Night out for #infosolinc  at #data17. Cannot believe how many #BOBJ customers are here #LetsSpeakBO #Tableauâ€_ https://t.co/pwMWvLQH2h,http://twitter.com/InfoBurst/status/918469201425137666,"October 12, 2017 at 09:31AM"
@VizByDesign,RT @patrickvdh: @tableau #data17 https://t.co/QuTQCJvo55,http://twitter.com/VizByDesign/status/918470077263024128,"October 12, 2017 at 09:35AM"
@Justin_OSull,"RT @infacloud: Great Data Requires Great #DataIntegration â†’ https://t.co/zTSnKdBh0J #Data17 https://t.co/VQQUKD5UmW",http://twitter.com/Justin_OSull/status/918470086721261569,"October 12, 2017 at 09:35AM"
@VizByDesign,RT @tableau: Some highlights from #DataNightOut! Thanks to everyone who joined. #Data17 has been one to remember! ï_‰ https://t.co/kM7fpUF6JB,http://twitter.com/VizByDesign/status/918470232733290496,"October 12, 2017 at 09:35AM"
